NR_TURNO,DS_ELEICAO,DT_ELEICAO,SG_UF,codigo_tse,NM_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,sequencial,NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,SG_PARTIDO,NM_PARTIDO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,180,Vereador,190000684951,50330,LUIZ FERNANDO BORGES,BORGES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,23,Vereador,190000684962,50010,THAIS DE SOUZA FERREIRA,THAIS FERREIRA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,192
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,118,Vereador,190000684935,50420,ANDRE MAGALHAES BARROS,ANDRÉ BARROS,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,39
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,204,Vereador,190000684941,50005,FELIPE CANDIDO GUEDES,FELIPE CANDIDO PELA FLORESTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,4
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,17,Vereador,190000684951,50330,LUIZ FERNANDO BORGES,BORGES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,13
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,7,Vereador,190000684960,50155,MARCIA PATRIZIO DOS SANTOS,MARCY,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,7
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,22,Vereador,190000684970,50001,SERGIO AMORIM DA SILVA,SERGIO AMORIM,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,234
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,162,Vereador,190000684933,50555,RENATO ATHAYDE SILVA,RENATO CINCO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,56
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,24,Vereador,190000684954,50888,ARILDO NERYS DA SILVA JUNIOR,PROF DR ARILDO NERYS JUNIOR,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,188,Vereador,190000684962,50010,THAIS DE SOUZA FERREIRA,THAIS FERREIRA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,428
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,17,Vereador,190000684932,50746,RAFAEL JOSE SIMI LIMA,RAFAEL SIMI,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,32
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,211,Vereador,190000684967,50000,LEONEL BRIZOLA,LEONEL BRIZOLA NETO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,171
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,24,Vereador,190000684930,50335,JESSICA CRISTINA MIRANDA SANTOS,SOL,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,18
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,185,Vereador,190000684929,50021,PEDRO HENRIQUE DE SOUSA TAVARES,COLETIVA BEM VIVER,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,56
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,188,Vereador,190000684927,50455,ALAN CARLOS DE ARAUJO RODRIGUES,ALAN RODRIGUES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,204,Vereador,190000684931,50007,MONICA SUZANA DA SILVA CUNHA,MONICA CUNHA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,181
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,230,Vereador,190000684957,50188,JEANNE DE SOUZA LIMA,JEANNE SOUZA LIMA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,33
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,234,Vereador,190000684957,50188,JEANNE DE SOUZA LIMA,JEANNE SOUZA LIMA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,192,Vereador,190000684940,50456,BRUNA FERNANDA DIAS LIMA MORAES,BRUNA FERNANDA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,7,Vereador,190000684949,50200,BRUNO RAFAEL DE OLIVEIRA,BRUNO DA SAÚDE,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,16
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,216,Vereador,190000684940,50456,BRUNA FERNANDA DIAS LIMA MORAES,BRUNA FERNANDA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,4,Vereador,190000684961,50014,MARIA DE LOURDES DO CARMO,MARIA DOS CAMELÔS,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,119
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,4,Vereador,190000684941,50005,FELIPE CANDIDO GUEDES,FELIPE CANDIDO PELA FLORESTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,12
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,245,Vereador,190000684934,50022,TAYGOARA PEREIRA COTTA,TAYGOARA COTTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,4
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,211,Vereador,190000684955,50203,DIANDUALA MARINETTE RAFAEL NGUIDI,KARABBAH,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,12
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,24,Vereador,190000684962,50010,THAIS DE SOUZA FERREIRA,THAIS FERREIRA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,120
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,191,Vereador,190000684941,50005,FELIPE CANDIDO GUEDES,FELIPE CANDIDO PELA FLORESTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,6
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,4,Vereador,190000684935,50420,ANDRE MAGALHAES BARROS,ANDRÉ BARROS,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,262
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,211,Vereador,190000684929,50021,PEDRO HENRIQUE DE SOUSA TAVARES,COLETIVA BEM VIVER,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,119
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,234,Vereador,190000684934,50022,TAYGOARA PEREIRA COTTA,TAYGOARA COTTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,125,Vereador,190000684949,50200,BRUNO RAFAEL DE OLIVEIRA,BRUNO DA SAÚDE,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,4
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,192,Vereador,190000684966,50100,JOAO BATISTA OLIVEIRA DE ARAUJO,BABÁ,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,26
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,180,Vereador,190000684937,50070,GIOVANNI GENNARO PEDROSA DA SILVA CAPANO,GIO CAPANO,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,123,Vereador,190000684963,50515,JULIANA SCHMITZ,JULIANA JUTKKE,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,188,Vereador,190000684929,50021,PEDRO HENRIQUE DE SOUSA TAVARES,COLETIVA BEM VIVER,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,70
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,182,Vereador,190000684953,50123,TARCISIO MOTTA DE CARVALHO,TARCISIO MOTTA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,1715
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,238,Vereador,190000684951,50330,LUIZ FERNANDO BORGES,BORGES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,1
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,17,Vereador,190000684953,50123,TARCISIO MOTTA DE CARVALHO,TARCISIO MOTTA,50,PSOL,Partido Socialismo e Liberdade,ELEITO POR QP,2209
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,216,Vereador,190000684946,50234,SERGIO RICARDO DE LIMA,SÉRGIO RICARDO VERDE POTIGUARA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,22
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,25,Vereador,190000684959,50444,LUIZ FERNANDO DA CONCEICAO PALMARES,FERNANDO PALMARES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,191,Vereador,190000684951,50330,LUIZ FERNANDO BORGES,BORGES,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,0
1,ELEIÇÕES MUNICIPAIS 2020,15/11/2020,RJ,60011,RIO DE JANEIRO,RIO DE JANEIRO,192,Vereador,190000684941,50005,FELIPE CANDIDO GUEDES,FELIPE CANDIDO PELA FLORESTA,50,PSOL,Partido Socialismo e Liberdade,SUPLENTE,8
